[2026-04-21 20:50:58] === START MERGE BAZE DE DATE ===
[2026-04-21 20:50:58] Client CUI=18171186 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=43279791 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO46769127 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO12290706 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO32069000 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=18205718 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO7377238 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=48989471 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO2829170 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO6902622 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO11879321 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO14000817 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO4376300 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=30892025 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO31292606 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO21417214 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=10190930 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO16743338 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO14190479 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=6949153 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO15376500 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO668981 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=8707989 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=41698815 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO20329912 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=40831912 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=10658535 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO46440697 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO16174780 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=44317079 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=45506173 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO45509021 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO16259789 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO30910555 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO14512582 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO15380021 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=R10878344 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO18560000 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO17545010 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=R14112292 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO38284228 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO38281132 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO29473635 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO10990657 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO662946 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=R13449606 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=3357165 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=39886477 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO32966943 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO10499030 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO42109314 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO28208452 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO6851308 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO40840449 deja existent, fără modificări
